images,location,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text_11.started,text_11.stopped,Inst.started,Inst.stopped,stimuli_prac.started,stimuli_prac.stopped,click.x,click.y,click.leftButton,click.midButton,click.rightButton,click.time,click.started,click.stopped,text_14.started,text_14.stopped,mem_inst.keys,mem_inst.rt,No_inst.keys,No_inst.rt,participant,session,date,expName,psychopyVersion,frameRate,
images/100.jpg,"(0.3, 0.2)",,,,,0,11,11,11,,,,,,,,,,,,,,,-0.1225,-0.04625,1,0,0,2.0050703000160865,0.01621212001191452,None,,,1,2.4917653999873437,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/20.jpg,"(0.02, -0.3)",,,,,0,12,12,12,,,,,,,,,,,,,,,-0.1225,-0.04625,1,0,0,1.0176001999643631,0.016209919936954975,None,,,1,0.43783989996882156,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/55.jpg,"(-0.1, -0.3)",,,,,0,13,13,13,,,,,,,,,,,,,,,-0.1225,-0.04625,1,0,0,0.8858585000270978,0.016136919963173568,None,,,1,0.35515469999518245,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/128.jpg,"(0.3, 0.1)",,,,,0,14,14,14,,,,,,,,,,,,,,,-0.1225,-0.04625,1,0,0,0.9035146000096574,0.01622551999753341,None,,,1,0.3336045000469312,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/2.jpg,"(0.05, 0.01)",,,,,,,,,0,0,0,0,,,,,,,,,,,-0.1225,-0.04625,1,0,0,0.8055458999588154,0.016318320005666465,None,,,,,2,0.6460779999615625,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/27.jpg,"(-0.3, 0.15)",,,,,,,,,0,1,1,1,,,,,,,,,,,-0.1225,-0.04625,1,0,0,0.9016627999953926,0.016025320044718683,None,,,,,2,0.3540925999986939,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/64.jpg,"(0.25, 0)",,,,,,,,,0,2,2,2,,,,,,,,,,,-0.1225,-0.04625,1,0,0,1.3529629000113346,0.016145120025612414,None,,,,,2,0.3213709000265226,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/4.jpg,"(0.2, -0.3)",,,,,,,,,0,3,3,3,,,,,,,,,,,-0.1225,-0.04625,1,0,0,0.9998800999601372,0.01616372005082667,None,,,,,2,0.32529730000533164,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/32.jpg,"(-0.3, 0.3)",,,,,,,,,0,4,4,4,,,,,,,,,,,-0.1225,-0.04625,1,0,0,1.019136500020977,0.016463420004583895,None,,,,,2,0.3137723000254482,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/79.jpg,"(0.1, -0.05)",,,,,,,,,0,5,5,5,,,,,,,,,,,-0.1225,-0.04625,1,0,0,0.9197057000128552,0.016372020065318793,None,,,,,2,0.2909465999691747,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/8.jpg,"(-0.3, -0.3)",,,,,,,,,0,6,6,6,,,,,,,,,,,-0.1225,-0.04625,1,0,0,1.0187115999870002,0.01650412002345547,None,,,,,2,0.3032913000206463,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/38.jpg,"(-0.3, -0.25)",,,,,,,,,0,7,7,7,,,,,,,,,,,-0.1225,-0.04625,1,0,0,0.9701528999721631,0.016500519996043295,None,,,,,2,0.2861857999814674,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/87.jpg,"(-0.3, 0.05)",,,,,,,,,0,8,8,8,,,,,,,,,,,-0.1225,-0.04625,1,0,0,0.8199670999892987,0.016503319959156215,None,,,,,2,0.2867973000393249,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/16.jpg,"(-0.25, 0.3)",,,,,,,,,0,9,9,9,,,,,,,,,,,-0.1225,-0.04625,1,0,0,0.9030097999493591,0.016504519968293607,None,,,,,2,0.28294040000764653,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/47.jpg,"(0, 0.3)",,,,,,,,,0,10,10,10,,,,,,,,,,,-0.1225,-0.04625,1,0,0,0.8867659000097774,0.016490320034790784,None,,,,,2,0.2735763000091538,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/100.jpg,"(0.3, 0.2)",,,,,,,,,0,11,11,11,,,,,,,,,,,-0.1225,-0.04625,1,0,0,1.2528299000114202,0.016525920014828444,None,,,,,2,0.3608564999885857,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/20.jpg,"(0.02, -0.3)",,,,,,,,,0,12,12,12,,,,,,,,,,,-0.1225,-0.04625,1,0,0,1.0531917000189424,0.016503619961440563,None,,,,,2,0.42012680001789704,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/55.jpg,"(-0.1, -0.3)",,,,,,,,,0,13,13,13,,,,,,,,,,,-0.1225,-0.04625,1,0,0,2.188030000019353,0.016501920006703585,None,,,,,2,0.500147000013385,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
