images,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text_11.started,text_11.stopped,Inst.started,Inst.stopped,stimuli_prac.started,stimuli_prac.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_12.started,text_12.stopped,text_14.started,text_14.stopped,Survey.keys,Survey.rt,Survey.started,Survey.stopped,mem_inst.keys,mem_inst.rt,No_inst.keys,No_inst.rt,participant,session,date,expName,psychopyVersion,frameRate,
images/47.jpg,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,36.60351980000269,None,3,0.1410951999714598,37.00305749999825,None,,,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/100.jpg,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,37.1771274000057,None,3,0.08420300000580028,37.65274659998249,None,,,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/20.jpg,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,37.76777829998173,None,3,0.030386500002350658,38.30604110000422,None,,,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/55.jpg,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,38.37590949999867,None,3,1.7306015000212938,38.86970719997771,None,,,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/128.jpg,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,40.63142449996667,None,3,0.2985152999754064,41.35796280001523,None,,,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/2.jpg,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,1.5436008999822661,43.16072159999749,None,1,1.2060925999539904,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/27.jpg,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,0.6181028999853879,45.59810000000289,None,1,0.6103373999940231,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/64.jpg,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,6,0.35275239998009056,47.6001169999945,None,1,1.1212085000006482,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/4.jpg,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,6,0.3403967999620363,48.65182600001572,None,1,0.44735740002943203,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/32.jpg,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,6,0.29788180004106835,49.670503499975894,None,1,0.40566330001456663,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
